,region,market,funnel,account_type,ds,X,Month,Year,US_Desktop_-_Apr_2024,US_Desktop_-_Aug_2024,US_Desktop_-_Dec_2024,US_Desktop_-_Jul_2024,US_Desktop_-_Jun_2024,US_Desktop_-_May_2024,US_Desktop_-_Nov_2024,US_Desktop_-_Oct_2024,US_Desktop_-_Sep_2024,US_Mobile_&_Tablet_-_Apr_2024,US_Mobile_&_Tablet_-_Aug_2024,US_Mobile_&_Tablet_-_Dec_2024,US_Mobile_&_Tablet_-_Jul_2024,US_Mobile_&_Tablet_-_Jun_2024,US_Mobile_&_Tablet_-_May_2024,US_Mobile_&_Tablet_-_Nov_2024,US_Mobile_&_Tablet_-_Oct_2024,US_Mobile_&_Tablet_-_Sep_2024,Weekend,AOV,ROAS
207,US,US,-,Desktop,2024-11-18,79723.2,Nov,2024,0.0,0.0,0.0,0.0,0.0,0.0,79723.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,34.32,29.5
208,US,US,-,Desktop,2024-11-19,69220.31,Nov,2024,0.0,0.0,0.0,0.0,0.0,0.0,69220.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,34.32,29.5
209,US,US,-,Desktop,2024-11-20,53332.36,Nov,2024,0.0,0.0,0.0,0.0,0.0,0.0,53332.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,34.32,29.5
210,US,US,-,Desktop,2024-11-21,59.89,Nov,2024,0.0,0.0,0.0,0.0,0.0,0.0,59.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,34.32,29.5
211,US,US,-,Desktop,2024-11-22,27169.839999999997,Nov,2024,0.0,0.0,0.0,0.0,0.0,0.0,27169.839999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,34.32,29.5
212,US,US,-,Desktop,2024-11-23,16551.739999999998,Nov,2024,0.0,0.0,0.0,0.0,0.0,0.0,16551.739999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,34.32,29.5
213,US,US,-,Desktop,2024-11-24,16509.170000000002,Nov,2024,0.0,0.0,0.0,0.0,0.0,0.0,16509.170000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,34.32,29.5
214,US,US,-,Desktop,2024-11-25,89540.89,Nov,2024,0.0,0.0,0.0,0.0,0.0,0.0,89540.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,34.32,29.5
215,US,US,-,Desktop,2024-11-26,73628.25,Nov,2024,0.0,0.0,0.0,0.0,0.0,0.0,73628.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,34.32,29.5
216,US,US,-,Desktop,2024-11-27,62274.479999999996,Nov,2024,0.0,0.0,0.0,0.0,0.0,0.0,62274.479999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,34.32,29.5
217,US,US,-,Desktop,2024-11-28,66103.53,Nov,2024,0.0,0.0,0.0,0.0,0.0,0.0,66103.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,34.32,29.5
218,US,US,-,Desktop,2024-11-29,59463.189999999995,Nov,2024,0.0,0.0,0.0,0.0,0.0,0.0,59463.189999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,34.32,29.5
219,US,US,-,Desktop,2024-11-30,17063.739999999998,Nov,2024,0.0,0.0,0.0,0.0,0.0,0.0,17063.739999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,34.32,29.5
220,US,US,-,Desktop,2024-12-01,15428.959999999997,Dec,2024,0.0,0.0,15428.959999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,34.32,29.5
