,region_x,market,funnel,account_type,ds,X,Month,Year,Spain_Desktop_-_Apr_2024,Spain_Desktop_-_Aug_2024,Spain_Desktop_-_Dec_2024,Spain_Desktop_-_Jul_2024,Spain_Desktop_-_Jun_2024,Spain_Desktop_-_May_2024,Spain_Desktop_-_Nov_2024,Spain_Desktop_-_Oct_2024,Spain_Desktop_-_Sep_2024,Spain_Mobile_&_Tablet_-_Apr_2024,Spain_Mobile_&_Tablet_-_Aug_2024,Spain_Mobile_&_Tablet_-_Dec_2024,Spain_Mobile_&_Tablet_-_Jul_2024,Spain_Mobile_&_Tablet_-_Jun_2024,Spain_Mobile_&_Tablet_-_May_2024,Spain_Mobile_&_Tablet_-_Nov_2024,Spain_Mobile_&_Tablet_-_Oct_2024,Spain_Mobile_&_Tablet_-_Sep_2024,Weekend,region_y,revenue,cost,conversion,AOV,ROAS
58,EMEA,Spain,-,Desktop,2024-06-22,167.4,Jun,2024,0.0,0.0,0.0,0.0,167.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,EMEA,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671
59,EMEA,Spain,-,Desktop,2024-06-23,145.85,Jun,2024,0.0,0.0,0.0,0.0,145.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,EMEA,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671
60,EMEA,Spain,-,Desktop,2024-06-24,1044.28,Jun,2024,0.0,0.0,0.0,0.0,1044.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,EMEA,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671
61,EMEA,Spain,-,Desktop,2024-06-25,1059.1899999999998,Jun,2024,0.0,0.0,0.0,0.0,1059.1899999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,EMEA,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671
62,EMEA,Spain,-,Desktop,2024-06-26,896.4599999999999,Jun,2024,0.0,0.0,0.0,0.0,896.4599999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,EMEA,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671
63,EMEA,Spain,-,Desktop,2024-06-27,905.6799999999998,Jun,2024,0.0,0.0,0.0,0.0,905.6799999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,EMEA,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671
64,EMEA,Spain,-,Desktop,2024-06-28,609.58,Jun,2024,0.0,0.0,0.0,0.0,609.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,EMEA,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671
65,EMEA,Spain,-,Desktop,2024-06-29,193.09,Jun,2024,0.0,0.0,0.0,0.0,193.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,EMEA,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671
66,EMEA,Spain,-,Desktop,2024-06-30,164.70000000000002,Jun,2024,0.0,0.0,0.0,0.0,164.70000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,EMEA,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671
67,EMEA,Spain,-,Desktop,2024-07-01,1086.95,Jul,2024,0.0,0.0,0.0,1086.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,EMEA,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671
68,EMEA,Spain,-,Desktop,2024-07-02,795.46,Jul,2024,0.0,0.0,0.0,795.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,EMEA,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671
69,EMEA,Spain,-,Desktop,2024-07-03,1001.9099999999997,Jul,2024,0.0,0.0,0.0,1001.9099999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,EMEA,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671
70,EMEA,Spain,-,Desktop,2024-07-04,342.1700000000001,Jul,2024,0.0,0.0,0.0,342.1700000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,EMEA,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671
71,EMEA,Spain,-,Desktop,2024-07-05,280.19,Jul,2024,0.0,0.0,0.0,280.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,EMEA,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671
72,EMEA,Spain,-,Desktop,2024-07-06,75.83999999999999,Jul,2024,0.0,0.0,0.0,75.83999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,EMEA,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671
73,EMEA,Spain,-,Desktop,2024-07-07,87.91999999999999,Jul,2024,0.0,0.0,0.0,87.91999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,EMEA,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671
74,EMEA,Spain,-,Desktop,2024-07-08,522.2199999999999,Jul,2024,0.0,0.0,0.0,522.2199999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,EMEA,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671
