,market,account_type,funnel,periods_for_acc_cal,changepoint_prior_scale,seasonality_prior_scale,holidays_prior_scale,seasonality_mode,input_mode,weekday_or_weekend,include_holiday,covid_year_exclude,covid_year_dummy,anomaly_2021,generic_cost_split,competitor_cost_split,new_confirmed,dec_2022,power,growth,MAPE,period_AE
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,multiplicative,additive,default,False,na,na,na,multiplicative,na,na,na,logistic,94.31,56.88999999999999
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,multiplicative,additive,default,False,na,na,additive,additive,na,na,na,linear,54.6,47.48
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,multiplicative,additive,default,False,na,na,additive,na,na,na,na,logistic,86.64,51.07000000000001
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,multiplicative,additive,default,False,na,na,additive,multiplicative,na,na,na,linear,48.56,35.949999999999996
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,multiplicative,additive,default,False,na,na,additive,additive,na,na,na,logistic,100.38,60.18
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,multiplicative,additive,default,False,na,na,multiplicative,na,na,na,na,linear,53.58,46.160000000000004
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,multiplicative,additive,default,False,na,na,additive,multiplicative,na,na,na,logistic,100.93,61.129999999999995
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,multiplicative,additive,default,False,na,na,multiplicative,additive,na,na,na,linear,51.72,40.83
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,multiplicative,additive,default,False,na,na,multiplicative,na,na,na,na,logistic,94.31,56.88999999999999
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,multiplicative,additive,default,False,na,na,multiplicative,multiplicative,na,na,na,linear,52.94,45.58
