,market,account_type,funnel,periods_for_acc_cal,changepoint_prior_scale,seasonality_prior_scale,holidays_prior_scale,seasonality_mode,input_mode,weekday_or_weekend,include_holiday,covid_year_exclude,covid_year_dummy,anomaly_2021,generic_cost_split,competitor_cost_split,new_confirmed,nov_dec_2018,jul_dec_2019,power,growth,MAPE,period_AE
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,multiplicative,additive,na,False,na,na,additive,multiplicative,na,na,na,na,linear,56.97,65.13
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,multiplicative,additive,na,False,na,na,multiplicative,na,na,na,na,na,linear,48.74,58.589999999999996
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,multiplicative,additive,na,False,na,na,additive,multiplicative,na,na,na,na,logistic,105.0,39.67
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,multiplicative,additive,na,False,na,na,multiplicative,additive,na,na,na,na,linear,54.76,63.21
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,multiplicative,additive,na,False,na,na,multiplicative,na,na,na,na,na,logistic,124.8,8.74
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,multiplicative,additive,na,False,na,na,multiplicative,multiplicative,na,na,na,na,linear,50.51,60.17
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,multiplicative,additive,na,False,na,na,multiplicative,additive,na,na,na,na,logistic,98.97,30.470000000000002
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,multiplicative,additive,default,False,na,na,na,na,na,na,na,na,linear,60.4,69.05
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,multiplicative,additive,na,False,na,na,multiplicative,multiplicative,na,na,na,na,logistic,125.33,9.82
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,multiplicative,additive,default,False,na,na,na,additive,na,na,na,na,linear,50.41,60.019999999999996
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,multiplicative,additive,default,False,na,na,na,na,na,na,na,na,logistic,106.87,21.83
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,multiplicative,additive,default,False,na,na,na,multiplicative,na,na,na,na,linear,52.89,62.33
