,ds,region,market,account_type,funnel,Identifier,X,y,anomaly_2021,covid_year_dummy,Covid_Year_Dummy,weekday_or_weekend,Nov_Dec_2018,Jul_Dec_2019,Month of Ds,new_funnel,generic_cost,competitor_cost,generic_cost_split,competitor_cost_split,Weekend,new_confirmed,floor,AOV,ROAS,cap
970,2020-04-06,LATAM,Mexico,-,Brand,L,413.46000000000004,50.0,0.0,0.0,2.0,0.0,0.0,0.0,AprilApril,0,0.0,0.0,0.5,0.5,0,0,0,60.9,20.69,140.46777339901482
971,2020-04-07,LATAM,Mexico,-,Brand,L,445.72999999999996,60.0,0.0,0.0,2.0,0.0,0.0,0.0,AprilApril,0,0.0,0.0,0.5,0.5,0,0,0,60.9,20.69,151.43109523809522
972,2020-04-08,LATAM,Mexico,-,Brand,L,348.67,47.0,0.0,0.0,2.0,0.0,0.0,0.0,AprilApril,0,0.0,0.0,0.5,0.5,0,0,0,60.9,20.69,118.45619540229886
973,2020-04-09,LATAM,Mexico,-,Brand,L,264.7,44.0,0.0,0.0,2.0,0.0,0.0,0.0,AprilApril,0,0.0,0.0,0.5,0.5,0,0,0,60.9,20.69,89.92845648604269
974,2020-04-10,LATAM,Mexico,-,Brand,L,138.5,13.0,0.0,0.0,2.0,0.0,0.0,0.0,AprilApril,0,0.0,0.0,0.5,0.5,0,0,0,60.9,20.69,47.05361247947455
975,2020-04-11,LATAM,Mexico,-,Brand,L,78.21000000000001,3.0,0.0,0.0,2.0,2.0,0.0,0.0,AprilApril,0,0.0,0.0,0.5,0.5,1,0,0,60.9,20.69,26.570852216748772
976,2020-04-12,LATAM,Mexico,-,Brand,L,28.04,3.0,0.0,0.0,2.0,2.0,0.0,0.0,AprilApril,0,0.0,0.0,0.5,0.5,1,0,0,60.9,20.69,9.526233169129721
977,2020-04-13,LATAM,Mexico,-,Brand,L,374.11,45.0,0.0,0.0,2.0,0.0,0.0,0.0,AprilApril,0,0.0,0.0,0.5,0.5,0,0,0,60.9,20.69,127.09911165845651
978,2020-04-14,LATAM,Mexico,-,Brand,L,275.34000000000003,78.0,0.0,0.0,2.0,0.0,0.0,0.0,AprilApril,0,0.0,0.0,0.5,0.5,0,0,0,60.9,20.69,93.54326108374386
979,2020-04-15,LATAM,Mexico,-,Brand,L,234.15000000000003,51.0,0.0,0.0,2.0,0.0,0.0,0.0,AprilApril,0,0.0,0.0,0.5,0.5,0,0,0,60.9,20.69,79.54948275862071
980,2020-04-16,LATAM,Mexico,-,Brand,L,270.02,45.0,0.0,0.0,2.0,0.0,0.0,0.0,AprilApril,0,0.0,0.0,0.5,0.5,0,0,0,60.9,20.69,91.73585878489327
981,2020-04-17,LATAM,Mexico,-,Brand,L,220.88000000000002,62.0,0.0,0.0,2.0,0.0,0.0,0.0,AprilApril,0,0.0,0.0,0.5,0.5,0,0,0,60.9,20.69,75.04116912972087
982,2020-04-18,LATAM,Mexico,-,Brand,L,64.92999999999999,4.0,0.0,0.0,2.0,2.0,0.0,0.0,AprilApril,0,0.0,0.0,0.5,0.5,1,0,0,60.9,20.69,22.05914121510673
983,2020-04-19,LATAM,Mexico,-,Brand,L,29.39,10.0,0.0,0.0,2.0,2.0,0.0,0.0,AprilApril,0,0.0,0.0,0.5,0.5,1,0,0,60.9,20.69,9.984878489326766
984,2020-04-20,LATAM,Mexico,-,Brand,L,273.77,53.0,0.0,0.0,2.0,0.0,0.0,0.0,AprilApril,0,0.0,0.0,0.5,0.5,0,0,0,60.9,20.69,93.00987356321839
985,2020-04-21,LATAM,Mexico,-,Brand,L,265.98,51.0,0.0,0.0,2.0,0.0,0.0,0.0,AprilApril,0,0.0,0.0,0.5,0.5,0,0,0,60.9,20.69,90.36332019704435
986,2020-04-22,LATAM,Mexico,-,Brand,L,318.41,59.0,0.0,0.0,2.0,0.0,0.0,0.0,AprilApril,0,0.0,0.0,0.5,0.5,0,0,0,60.9,20.69,108.17574548440068
