,ds,market,new_confirmed
762,2020-02-28,France,43
763,2020-02-28,Belgium,0
764,2020-02-28,Austria,12
765,2020-02-28,Italy,676
766,2020-02-28,Netherlands,1
767,2020-02-29,Poland,0
768,2020-02-29,UK,15
769,2020-02-29,Turkey,0
770,2020-02-29,Switzerland,26
771,2020-02-29,Sweden,6
772,2020-02-29,Spain,40
773,2020-02-29,Netherlands,3
774,2020-02-29,Ireland,0
775,2020-02-29,Germany,81
776,2020-02-29,France,23
777,2020-02-29,Belgium,18
778,2020-02-29,Austria,3
779,2020-02-29,Italy,702
780,2020-03-01,UK,75
781,2020-03-01,Turkey,0
782,2020-03-01,Switzerland,24
783,2020-03-01,Sweden,0
784,2020-03-01,Spain,100
785,2020-03-01,Poland,0
786,2020-03-01,Netherlands,5
787,2020-03-01,Ireland,0
788,2020-03-01,Germany,113
789,2020-03-01,France,55
790,2020-03-01,Belgium,38
791,2020-03-01,Austria,12
792,2020-03-01,Italy,1648
793,2020-03-02,Poland,1
794,2020-03-02,UK,171
795,2020-03-02,Turkey,0
796,2020-03-02,Switzerland,60
797,2020-03-02,Spain,152
798,2020-03-02,Netherlands,4
799,2020-03-02,Sweden,10
800,2020-03-02,Ireland,1
801,2020-03-02,Austria,15
802,2020-03-02,Belgium,38
803,2020-03-02,Italy,955
804,2020-03-02,Germany,166
805,2020-03-02,France,38
806,2020-03-03,Spain,199
807,2020-03-03,UK,227
808,2020-03-03,Turkey,0
809,2020-03-03,Switzerland,66
810,2020-03-03,Sweden,26
811,2020-03-03,Poland,0
812,2020-03-03,Netherlands,10
813,2020-03-03,Italy,1518
814,2020-03-03,Ireland,4
815,2020-03-03,Germany,325
816,2020-03-03,France,17
817,2020-03-03,Belgium,68
818,2020-03-03,Austria,18
819,2020-03-04,Sweden,60
820,2020-03-04,Switzerland,122
821,2020-03-04,Spain,213
822,2020-03-04,UK,224
823,2020-03-04,Turkey,0
824,2020-03-04,Poland,0
825,2020-03-04,Netherlands,17
826,2020-03-04,Italy,1727
827,2020-03-04,Ireland,7
828,2020-03-04,Germany,502
829,2020-03-04,France,73
830,2020-03-04,Belgium,100
831,2020-03-04,Austria,42
832,2020-03-05,UK,202
833,2020-03-05,Turkey,0
834,2020-03-05,Switzerland,124
835,2020-03-05,Sweden,50
836,2020-03-05,Spain,432
837,2020-03-05,Poland,4
838,2020-03-05,Ireland,5
839,2020-03-05,Italy,2271
840,2020-03-05,Germany,559
841,2020-03-05,France,138
842,2020-03-05,Belgium,162
843,2020-03-05,Austria,27
844,2020-03-05,Netherlands,40
845,2020-03-06,Sweden,118
846,2020-03-06,Switzerland,146
847,2020-03-06,Spain,629
848,2020-03-06,UK,336
849,2020-03-06,Turkey,0
850,2020-03-06,Poland,1
851,2020-03-06,Netherlands,50
852,2020-03-06,Italy,2310
853,2020-03-06,Ireland,1
854,2020-03-06,Germany,514
855,2020-03-06,France,190
856,2020-03-06,Belgium,219
857,2020-03-06,Austria,87
858,2020-03-07,UK,267
859,2020-03-07,Turkey,0
860,2020-03-07,Switzerland,98
861,2020-03-07,Sweden,66
862,2020-03-07,Spain,753
863,2020-03-07,Poland,5
864,2020-03-07,Netherlands,32
865,2020-03-07,Italy,3689
866,2020-03-07,Ireland,2
867,2020-03-07,Germany,389
868,2020-03-07,France,336
869,2020-03-07,Belgium,54
870,2020-03-07,Austria,69
871,2020-03-08,UK,235
872,2020-03-08,Turkey,0
873,2020-03-08,Switzerland,138
874,2020-03-08,Sweden,92
875,2020-03-08,Spain,954
876,2020-03-08,Poland,6
877,2020-03-08,Ireland,3
878,2020-03-08,Italy,4185
879,2020-03-08,Germany,553
880,2020-03-08,France,177
881,2020-03-08,Belgium,127
882,2020-03-08,Austria,84
883,2020-03-08,Netherlands,61
884,2020-03-09,UK,614
885,2020-03-09,Turkey,0
886,2020-03-09,Switzerland,382
887,2020-03-09,Sweden,202
888,2020-03-09,Spain,1829
889,2020-03-09,Poland,5
890,2020-03-09,Ireland,10
891,2020-03-09,Italy,5091
892,2020-03-09,Germany,1285
893,2020-03-09,France,286
894,2020-03-09,Belgium,185
895,2020-03-09,Austria,66
896,2020-03-09,Netherlands,130
897,2020-03-10,Sweden,196
898,2020-03-10,Switzerland,420
899,2020-03-10,Spain,2938
900,2020-03-10,UK,1102
901,2020-03-10,Turkey,1
902,2020-03-10,Poland,9
903,2020-03-10,Belgium,191
